train/policy_loss,train/std,train/learning_rate,train/entropy_loss,train/n_updates,time/fps,train/explained_variance,time/time_elapsed,time/iterations,train/value_loss,train/reward,time/total_timesteps
16.41290855407715,1.0021084547042847,0.0007,-41.1993293762207,99,81,-1.1920928955078125e-07,6,100,0.7280831336975098,0.62633353,500
-7.285778999328613,1.001796007156372,0.0007,-41.197837829589844,199,82,-0.054590702056884766,12,200,3.237370729446411,0.36195764,1000
-125.036865234375,1.0030791759490967,0.0007,-41.2393913269043,299,83,0.037193238735198975,17,300,16.96023178100586,-4.675703,1500
-150.76434326171875,1.0017194747924805,0.0007,-41.20029067993164,399,83,0.0,23,400,19.848526000976562,1.1743615,2000
-137.3061981201172,0.9993016719818115,0.0007,-41.119956970214844,499,83,0.0,29,500,20.87995147705078,0.4625783,2500
5.679067134857178,0.9998242855072021,0.0007,-41.145938873291016,599,83,1.1920928955078125e-07,35,600,0.0585843101143837,-0.032313175,3000
49.58637237548828,1.0010485649108887,0.0007,-41.17134475708008,699,84,-0.9183286428451538,41,700,2.360795497894287,-1.5076665,3500
14.0443115234375,1.0017814636230469,0.0007,-41.1876335144043,799,84,-1.1920928955078125e-07,47,800,1.4255269765853882,0.41269603,4000
-54.48431396484375,1.001266598701477,0.0007,-41.181880950927734,899,84,0.0,53,900,16.158069610595703,3.7011082,4500
-349.8597106933594,1.0035027265548706,0.0007,-41.240562438964844,999,84,0.0,59,1000,156.41317749023438,7.7842946,5000
24.093530654907227,1.0029988288879395,0.0007,-41.226497650146484,1099,84,0.0008710622787475586,64,1100,36.84154510498047,3.9504757,5500
-71.98206329345703,1.0018980503082275,0.0007,-41.19033432006836,1199,84,0.0,70,1200,3.9725253582000732,-1.0776598,6000
-39.416358947753906,1.0018260478973389,0.0007,-41.19456481933594,1299,84,-0.14402234554290771,76,1300,1.3257982730865479,0.6603454,6500
101.72315979003906,1.0048481225967407,0.0007,-41.27244567871094,1399,84,0.0,82,1400,6.2016401290893555,1.0908237,7000
135.01651000976562,1.0047155618667603,0.0007,-41.2734375,1499,84,0.0,88,1500,19.568012237548828,-0.21638054,7500
43.422950744628906,1.002935767173767,0.0007,-41.21187973022461,1599,84,3.6954879760742188e-06,94,1600,20.408573150634766,6.2677636,8000
654.6287231445312,1.0059888362884521,0.0007,-41.29907989501953,1699,84,-1.1920928955078125e-07,100,1700,234.6309051513672,8.51142,8500
-139.34378051757812,1.0044711828231812,0.0007,-41.26180648803711,1799,84,-0.2021787166595459,106,1800,14.1740083694458,0.42036706,9000
-133.85382080078125,1.0047729015350342,0.0007,-41.26463317871094,1899,84,-3.0994415283203125e-06,112,1900,12.597389221191406,-0.40487543,9500
33.804710388183594,1.0085440874099731,0.0007,-41.38036346435547,1999,84,-1.1920928955078125e-07,118,2000,1.3833483457565308,-0.080219164,10000
-49.396480560302734,1.0100537538528442,0.0007,-41.418087005615234,2099,84,1.1920928955078125e-07,123,2100,2.64699125289917,2.7386277,10500
59.45178985595703,1.0149909257888794,0.0007,-41.564815521240234,2199,84,-1.1920928955078125e-07,129,2200,5.329779624938965,-6.870247,11000
687.8790893554688,1.0125712156295776,0.0007,-41.49164581298828,2299,84,0.0,135,2300,326.14434814453125,1.8229656,11500
65.00618743896484,1.0134960412979126,0.0007,-41.5189208984375,2399,84,-0.07439351081848145,141,2400,2.9349024295806885,-0.1930041,12000
-87.63990783691406,1.0151619911193848,0.0007,-41.56746292114258,2499,84,0.0,147,2500,6.822020053863525,1.3104069,12500
14.441839218139648,1.0157983303070068,0.0007,-41.585479736328125,2599,84,0.08855181932449341,153,2600,0.8312293291091919,0.45786756,13000
-12.665542602539062,1.0174205303192139,0.0007,-41.62468719482422,2699,85,0.0,158,2700,0.27860555052757263,-1.1408083,13500
-219.5942840576172,1.0188908576965332,0.0007,-41.675018310546875,2799,85,0.0,163,2800,30.159862518310547,-1.0285538,14000
133.3982696533203,1.0183111429214478,0.0007,-41.65635681152344,2899,85,0.0,169,2900,16.20937156677246,0.14652966,14500
22.657941818237305,1.019169807434082,0.0007,-41.67936706542969,2999,85,0.7782269716262817,176,3000,0.3000374734401703,-0.6319717,15000
-81.09913635253906,1.0194817781448364,0.0007,-41.691993713378906,3099,85,0.0,182,3100,6.676930904388428,0.7724515,15500
51.62994384765625,1.0191322565078735,0.0007,-41.68138885498047,3199,85,0.0,187,3200,2.728428363800049,-0.3002045,16000
-71.26048278808594,1.0197038650512695,0.0007,-41.693397521972656,3299,85,0.0,193,3300,3.4369800090789795,-1.2263615,16500
-272.9718322753906,1.0206058025360107,0.0007,-41.71928405761719,3399,85,0.0,199,3400,76.86474609375,-0.9963952,17000
284.43475341796875,1.0196248292922974,0.0007,-41.69499969482422,3499,85,0.0,205,3500,53.09161376953125,1.7492869,17500
10.488874435424805,1.0196079015731812,0.0007,-41.6856803894043,3599,85,-1.1920928955078125e-07,210,3600,0.09026918560266495,0.31025052,18000
-4.947835922241211,1.0187135934829712,0.0007,-41.67116165161133,3699,85,-2.384185791015625e-07,216,3700,1.1588224172592163,-1.1046163,18500
117.5391616821289,1.0203131437301636,0.0007,-41.71434020996094,3799,85,0.007022559642791748,222,3800,12.33240032196045,0.02067519,19000
10.136357307434082,1.020497441291809,0.0007,-41.71287536621094,3899,85,5.960464477539063e-08,228,3900,0.8333727121353149,0.091318026,19500
-59.413360595703125,1.021248698234558,0.0007,-41.735748291015625,3999,85,0.0,234,4000,5.089967727661133,-4.859773,20000
