time/episodes,train/critic_loss,train/ent_coef_loss,train/actor_loss,train/learning_rate,train/ent_coef,train/n_updates,time/fps,time/time_elapsed,train/reward,time/total_timesteps
4,324.1383056640625,-47.52665710449219,1064.82861328125,0.0001,0.19074583053588867,11727,37,316,-7.3399577,11828
8,131.09007263183594,-105.60130310058594,479.5113830566406,0.0001,0.05749620124697685,23555,38,618,-7.543966,23656
12,19.04046630859375,-104.87285614013672,227.85960388183594,0.0001,0.018222922459244728,35383,38,923,-8.007482,35484
16,32.308204650878906,-54.87133026123047,124.21231079101562,0.0001,0.005965159274637699,47211,38,1235,-8.479921,47312
