time/episodes,train/critic_loss,train/actor_loss,train/learning_rate,time/fps,train/n_updates,time/time_elapsed,train/reward,time/total_timesteps
4,12232.849609375,-6.97125244140625,0.001,57,11727,204,-6.9774923,11828
8,20.529935836791992,22.872535705566406,0.001,51,23555,459,-6.9774923,23656
12,6.054202079772949,21.664491653442383,0.001,49,35383,712,-6.9774923,35484
16,5.266167163848877,22.490224838256836,0.001,48,47211,977,-6.9774923,47312
