,date,account_value
56,2023-12-20,1109772.8303190176
57,2023-12-21,1126247.290546984
58,2023-12-22,1123820.693783373
59,2023-12-26,1124799.165936083
60,2023-12-27,1127500.3786436026
61,2023-12-28,1127049.9952894156
62,2023-12-29,1124257.8656888907
63,2024-01-02,1117144.3632932608
64,2024-01-03,1108106.23445949
65,2024-01-04,1105386.7197156851
66,2024-01-05,1105002.7860914175
67,2024-01-08,1125785.961487383
68,2024-01-09,1125552.1496473257
69,2024-01-10,1134339.7358518546
70,2024-01-11,1145958.091099352
71,2024-01-12,1146518.507633776
72,2024-01-16,1140904.9254308646
73,2024-01-17,1142175.4891439383
74,2024-01-18,1149804.6922117178
75,2024-01-19,1163397.1352430289
76,2024-01-22,1163695.7011419241
77,2024-01-23,1166498.452717394
78,2024-01-24,1162064.2541204398
79,2024-01-25,1175243.2087991773
80,2024-01-26,1188245.3458124371
81,2024-01-29,1202389.5230394574
82,2024-01-30,1205837.6517282696
83,2024-01-31,1185894.7950731488
84,2024-02-01,1199084.9313188763
85,2024-02-02,1205420.95994055
86,2024-02-05,1204193.7023950787
87,2024-02-06,1204739.9438120099
88,2024-02-07,1214087.4914461346
89,2024-02-08,1218990.4963251324
90,2024-02-09,1220307.3931146832
91,2024-02-12,1214802.9688020917
92,2024-02-13,1197031.4770151349
93,2024-02-14,1210594.2020479413
94,2024-02-15,1216569.8713480206
95,2024-02-16,1212243.0476366254
96,2024-02-20,1213517.6055361005
97,2024-02-21,1209275.704874632
98,2024-02-22,1231902.1802965375
99,2024-02-23,1232011.9318491193
100,2024-02-26,1244406.53233206
101,2024-02-27,1243502.8174692364
102,2024-02-28,1244452.8211504193
103,2024-02-29,1256653.7527033063
104,2024-03-01,1269309.120245573
105,2024-03-04,1266389.4919725629
106,2024-03-05,1239056.9779382916
107,2024-03-06,1248373.1403795453
108,2024-03-07,1252143.9984079571
109,2024-03-08,1255595.0453783246
110,2024-03-11,1259001.9417864056
111,2024-03-12,1268207.2092043133
112,2024-03-13,1266327.3869653912
113,2024-03-14,1263497.4431253644
114,2024-03-15,1243346.8929392071
