,a2c,ddpg,td3,ppo,sac,mean var,dji
2023-11-14,1043089.8053603575,1029238.3501858024,1035331.8467595367,1050495.1759317874,1061766.283410187,1053815.0906121496,1041705.2910068983
2023-11-15,1045387.9226088927,1038933.348514965,1038983.5730511931,1051076.0306111695,1064515.2630816654,1057014.6209850616,1046595.9678642374
2023-11-16,1036153.8890166685,1033899.2678150444,1039572.6117017058,1062034.630250345,1065181.0451708988,1055245.2356186896,1045227.807468637
2023-11-17,1033160.4177995092,1033008.2313541679,1039555.6665341643,1055555.663873659,1065326.079114075,1052647.6174570264,1045282.0198019894
2023-11-20,1043056.6376203977,1037123.5954365043,1042784.4320180205,1067567.9902953203,1074642.4902201847,1057265.8658677856,1051376.4675009914
2023-11-21,1039031.8177047864,1037671.4970363884,1040703.8826215056,1062255.3475632265,1073460.7520457462,1057617.5305770203,1049499.5991325092
2023-11-22,1042527.7061399939,1043204.9019436149,1045538.0458180694,1068466.497122148,1081016.124364014,1063750.3576355863,1055025.2846790105
2023-11-24,1045945.7084531271,1049443.712967327,1049323.7000500946,1070043.365418863,1084015.9037448124,1065659.8605943164,1058528.2893742193
2023-11-27,1046490.7108830892,1049685.620151928,1047015.9582173614,1071177.6252898804,1082343.3721057132,1063581.8358816314,1056832.985587698
2023-11-28,1052484.1431149924,1052500.960762432,1048533.5116421966,1075744.4134080026,1085088.9601947025,1065122.3644657263,1059330.8422143029
2023-11-29,1058122.7681531394,1055169.9059109,1050108.3902814179,1076521.3552158982,1085166.7912646488,1058864.5525750527,1059732.8780743591
2023-11-30,1095489.598174044,1068785.1575168876,1068910.2534177094,1104526.607316244,1106199.654503937,1073496.9631080022,1075300.2300051714
2023-12-01,1109338.996169039,1080775.7470325737,1081278.3238751679,1106540.9218021638,1112947.2163783268,1077841.0319933367,1084112.0709134708
2023-12-04,1093474.7128323996,1086416.5514797478,1081303.6339375763,1088918.6285664842,1108897.2913218692,1077710.0733854498,1082883.9979913395
2023-12-05,1089847.058165499,1082468.8817028312,1079827.2434079438,1092995.4597449587,1108920.8942500309,1085497.7356421333,1080494.6828683652
2023-12-06,1081752.3491124595,1076728.4063953666,1078530.6592519074,1085658.932510515,1107045.2340213016,1083670.5557593142,1078397.109547937
2023-12-07,1081778.9208531096,1077374.1175083427,1079264.7993924408,1089396.0855955712,1109823.4417239383,1085546.9518581352,1080279.9365996108
2023-12-08,1083034.0634693815,1073732.9998173027,1082435.5832211762,1097009.4593740976,1117243.0062915043,1087397.9951108836,1084182.9909271454
2023-12-11,1086925.553760977,1082547.9421734123,1087547.8001248627,1095831.657817823,1118949.5774470523,1085159.5987360047,1088880.6531838414
2023-12-12,1096657.8225926228,1087854.4908718376,1092375.3461949616,1103979.3178702677,1125628.663426514,1091612.7112155005,1094055.47744358
2023-12-13,1107232.809447176,1099527.449169567,1109213.5009381562,1107978.3951210154,1139573.3760043338,1108769.6928990798,1109378.4065266042
2023-12-14,1103216.3625439473,1098639.6550983696,1115923.2667233734,1099700.9466455209,1141306.5217105106,1100483.1521581414,1114107.6147531387
2023-12-15,1112136.2589106467,1097179.2531933098,1114205.9707753449,1111059.6968005311,1146110.032303925,1098568.8738830613,1115806.7741581958
2023-12-18,1121647.0769135267,1100957.1213573723,1112127.566199997,1114189.7088255822,1143535.532200928,1094579.023537632,1115832.478281768
2023-12-19,1126477.8627630179,1107855.0832905082,1118302.6508824616,1118261.807732,1149633.151719208,1096610.6185352674,1123366.9410854476
2023-12-20,1109772.8303190176,1091144.3992771416,1104524.389762619,1104731.4127104012,1135421.2575656131,1084211.016302512,1109131.9974510856
2023-12-21,1126247.290546984,1103611.6004986076,1114050.595721939,1119908.5512840708,1144971.8995982364,1089250.5286399615,1118773.6142030705
2023-12-22,1123820.693783373,1111088.718399456,1112774.8481976776,1121253.3815948428,1144822.2874232486,1089223.7066011026,1118223.779632473
2023-12-26,1124799.165936083,1117408.9033512382,1117437.7672002106,1125959.8116090258,1148289.2180300907,1089161.6491962168,1122990.2588381877
2023-12-27,1127500.3786436026,1123605.0379146843,1121787.909282425,1126821.1540934695,1150419.7053576664,1091962.9362249381,1126316.0219176724
2023-12-28,1127049.9952894156,1127382.7420467644,1123566.1614796906,1126639.174207769,1150937.3528872684,1094095.7459827524,1127918.674022408
